order_month,revenue,orders,aov,mom_growth_pct
2016-09,134.97,1,134.97,
2016-10,40325.11,265,152.17022641509433,29777.091205453064
2016-12,10.9,1,10.9,-99.97296969555694
2017-01,111798.36,750,149.06448,1025573.0275229358
2017-02,234223.4,1653,141.69594676346037,109.50521993345879
2017-03,359198.85,2546,141.0836017282011,53.35737163750505
2017-04,340669.68,2303,147.9243074250977,-5.158471414927968
2017-05,489338.25,3546,137.99725042301185,43.64009441638599
2017-06,421923.37,3135,134.58480701754385,-13.776744409414142
2017-07,481604.52,3872,124.3813326446281,14.14502116818037
2017-08,554699.7,4193,132.29184354877174,15.177428152044747
2017-09,607399.67,4150,146.36136626506024,9.500630701621082
2017-10,648247.65,4478,144.76276239392587,6.725057983650196
2017-11,987765.37,7289,135.51452462614898,52.374693529548466
2017-12,726033.1900000001,5513,131.694756031199,-26.4974039330818
2018-01,924645.0,7069,130.80280096194653,27.35574802027989
2018-02,826437.13,6555,126.0773653699466,-10.621143249571452
2018-03,953356.25,7003,136.13540625446237,15.35738356770102
2018-04,973534.09,6798,143.2088982053545,2.1165057658141917
2018-05,977544.6900000001,6749,144.84289376203884,0.41196297502021917
2018-06,856077.86,6099,140.36364322020003,-12.42570608204112
2018-07,867953.46,6159,140.9244130540672,1.3872102708041067
2018-08,838576.64,6351,132.03851991812314,-3.3846077415256692
